2026-02-23 14:00:15 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 14:00:00', 'MAIN METER 2', '2026-02-23 14:00:00', '26-02-23 14:00',0.00)
2026-02-23 19:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 19:00:00', 'MAIN METER 2', '2026-02-23 18:00:00', '26-02-23 19:00',4.59)
2026-02-23 19:00:15 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 19:00:00', 'MAIN METER 2', '2026-02-23 19:00:00', '26-02-23 19:00',0.00)
2026-02-24 06:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 06:00:00', 'MAIN METER 2', '2026-02-24 05:00:00', '26-02-24 06:00',0.00)
2026-02-24 12:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 12:00:00', 'MAIN METER 2', '2026-02-24 12:00:00', '26-02-24 12:00',0.00)
2026-02-24 12:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 12:00:00', 'MAIN METER 2', '2026-02-24 12:00:00', '26-02-24 12:00',0.00)
2026-02-24 15:00:21 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 15:00:00', 'MAIN METER 2', '2026-02-24 14:00:00', '26-02-24 15:00',411.60)
2026-02-24 16:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 16:00:00', 'MAIN METER 2', '2026-02-24 15:00:00', '26-02-24 16:00',329.09)
2026-02-25 06:00:23 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-25 06:00:00', 'MAIN METER 2', '2026-02-25 06:00:00', '26-02-25 06:00',0.00)
2026-02-25 07:00:38 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-25 07:00:00', 'MAIN METER 2', '2026-02-25 06:00:00', '26-02-25 07:00',10.21)
2026-02-26 09:00:33 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-26 09:00:00', 'MAIN METER 2', '2026-02-26 08:00:00', '26-02-26 09:00',240.16)
2026-02-28 07:00:45 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-28 07:00:00', 'MAIN METER 2', '2026-02-28 06:00:00', '26-02-28 07:00',17.98)
2026-02-28 12:00:32 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-28 12:00:00', 'MAIN METER 2', '2026-02-28 11:00:00', '26-02-28 12:00',360.49)
2026-02-28 13:00:34 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-28 13:00:00', 'MAIN METER 2', '2026-02-28 12:00:00', '26-02-28 13:00',421.27)
2026-03-01 07:00:20 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-01 07:00:00', 'MAIN METER 2', '2026-03-01 05:00:00', '26-03-01 07:00',17.63)
2026-03-01 12:00:09 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-01 12:00:00', 'MAIN METER 2', '2026-03-01 11:00:00', '26-03-01 12:00',285.98)
2026-03-02 06:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-02 06:00:00', 'MAIN METER 2', '2026-03-02 05:00:00', '26-03-02 06:00',0.00)
2026-03-02 08:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-02 08:00:00', 'MAIN METER 2', '2026-03-02 07:00:00', '26-03-02 08:00',75.25)
2026-03-03 10:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-03 10:00:00', 'MAIN METER 2', '2026-03-03 09:00:00', '26-03-03 10:00',300.99)
2026-03-03 12:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-03 12:00:00', 'MAIN METER 2', '2026-03-03 11:00:00', '26-03-03 12:00',442.39)
2026-03-04 05:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-04 05:00:00', 'MAIN METER 2', '2026-03-03 20:00:00', '26-03-04 05:00',0.00)
2026-03-05 13:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-05 13:00:00', 'MAIN METER 2', '2026-03-05 12:00:00', '26-03-05 13:00',386.38)
2026-03-05 17:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-05 17:00:00', 'MAIN METER 2', '2026-03-05 16:00:00', '26-03-05 17:00',54.89)
2026-03-06 05:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-06 05:00:00', 'MAIN METER 2', '2026-03-05 20:00:00', '26-03-06 05:00',0.00)
2026-03-06 06:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-06 06:00:00', 'MAIN METER 2', '2026-03-06 05:00:00', '26-03-06 06:00',0.00)
2026-03-06 11:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-06 11:00:00', 'MAIN METER 2', '2026-03-06 10:00:00', '26-03-06 11:00',378.94)
2026-03-06 13:00:13 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-06 13:00:00', 'MAIN METER 2', '2026-03-06 13:00:00', '26-03-06 13:00',0.00)
2026-03-06 13:00:13 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-06 13:00:00', 'MAIN METER 2', '2026-03-06 13:00:00', '26-03-06 13:00',0.00)
2026-03-06 19:00:17 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-06 19:00:00', 'MAIN METER 2', '2026-03-06 19:00:00', '26-03-06 19:00',0.00)
2026-03-07 05:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-07 05:00:00', 'MAIN METER 2', '2026-03-06 20:00:00', '26-03-07 05:00',0.00)
2026-03-07 10:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-07 10:00:00', 'MAIN METER 2', '2026-03-07 10:00:00', '26-03-07 10:00',0.00)
